# Smarandache numbers.
# Numbers formed by concatenation of positive integers in numerical order.
267 3.11.7079.590096394048413420263.C
268 2^2.7.19.283.5657.217829.31175747.22390717935347.C
269 3^3.13.2179.6121.9589223000183229457.C
270 2.3^3.5.47.67.372739.C
271 17.23.37.693989.984450049393.15438162831205861.C
272 2^3.3.17.3557.1975838653.C
273 3.147225517.C
274 2.13751.1381487.29221824937.C
275 3.5^2.36998744483.6429086037347.C
276 2^2.3.13.691.873461.328204517.2602569918821.1522896630395081.23558738236491127.46748553978720569.585014599489085669.C
277 7.1983503.726749057.6790239241.C
278 2.3^2.109.17047.17573.25303.13761385089427.C
279 3^2.458891.P722
280 2^4.5.67.397.1973.C
281 3.C

# From here on, hard cases needed for OEIS A046461
391 269534025881.1944200997131.C
463 95762360557419696305637209522797.C
631 414941628631826493984534937401473.C
649 877026198670416511.C
691 1304238680165623831238651513722972177904593843651.C
721 18142968037.C
787 46110336443.C
859 77278117165680372333434870566009.C
901 418531739.C
1027 406840875409.35488519258785497579.C
1033 30915171019253321813.C
1039 1479264257587679378617.C
1051 94182284179957932178843944956212141.C
1207 6176528903.C
1219 240027343.C
1231 37307.C
1273 199.635789327.C
1291 828297113610116869.C
1519 313343.C
1523 3.363959.C
1543 55021.C
1561 43008171535331.C
1609 129787493421373.C
1777 1413909191.C
1783 55786004333.C
1807 738921181.C
1861 1471795943419.C
1939 10981653341127770593.C
1951 891704872753975021087.C
1963 15654967526938910563.C
1999 11687073721669454909.C
2029 42457568152889999.C
2107 5135394736173493133.C
2191 434290438959877.C
2233 3147058781.C
2251 370193.C
2329 1315793627.C
2479 373577579.C
3883 47784961208459.C
4429 264146732728106877929671.C
4477 145122725496587.C
4549 9457516676479.C
4663 279168988896034784147.C
4711 3059843006852143.C
4897 37089928868738827.C
